id,name,area,city,state,pincode,address,specialization,contact_name,contact_number,email,body_part,status,established_year,latitude,longitude
1,OrthoLife Indiranagar Medical Center,Indiranagar,Bengaluru,Karnataka,632097,No. 189  Indiranagar Main Road  Bengaluru  Karnataka - 632097,Sports Rehabilitation,Operations Desk,9819600133,info.ortholifeindiranagarmedicalcenter@arthomove-demo.com,Shoulder,INACTIVE,,,
2,CarePlus Edappally Healthcare Hub,Edappally,Kochi,Kerala,623783,No. 135  Edappally Main Road  Kochi  Kerala - 623783,Pain Management,Operations Desk,8535218188,info.careplusedappallyhealthcarehub@arthomove-demo.com,Neck,ACTIVE,,,
3,ApolloCare Bandra Speciality Clinic,Bandra,Mumbai,Maharashtra,638836,No. 144  Bandra Main Road  Mumbai  Maharashtra - 638836,Orthopedics,Admin Office,9826343517,info.apollocarebandraspecialityclinic@arthomove-demo.com,Back,ACTIVE,,,
4,HealWell Kothrud Hospital,Kothrud,Pune,Maharashtra,643549,No. 88  Kothrud Main Road  Pune  Maharashtra - 643549,Physiotherapy,Front Office,7181599706,info.healwellkothrudhospital@arthomove-demo.com,Ankle,ACTIVE,,,
5,Medicare Navi Mumbai Medical Center,Navi Mumbai,Mumbai,Maharashtra,625967,No. 102  Navi Mumbai Main Road  Mumbai  Maharashtra - 625967,Sports Rehabilitation,Operations Desk,7780068114,info.medicarenavimumbaimedicalcenter@arthomove-demo.com,Knee,ACTIVE,,,
6,ApolloCare RS Puram Wellness Hospital,RS Puram,Coimbatore,Tamil Nadu,690469,No. 239  RS Puram Main Road  Coimbatore  Tamil Nadu - 690469,Orthopedics,Operations Desk,8425690877,info.apollocarerspuramwellnesshospital@arthomove-demo.com,Wrist,INACTIVE,,,
7,SpinePlus Gandhipuram Medical Center,Gandhipuram,Coimbatore,Tamil Nadu,635171,No. 69  Gandhipuram Main Road  Coimbatore  Tamil Nadu - 635171,Physiotherapy,Patient Care,8532863266,info.spineplusgandhipurammedicalcenter@arthomove-demo.com,Toes,INACTIVE,,,
8,CarePlus Marine Drive Speciality Clinic,Marine Drive,Kochi,Kerala,651306,No. 136  Marine Drive Main Road  Kochi  Kerala - 651306,Physiotherapy,Care Coordinator,8386125904,info.careplusmarinedrivespecialityclinic@arthomove-demo.com,Elbows,ACTIVE,,,
9,MotionCare Hadapsar Wellness Hospital,Hadapsar,Pune,Maharashtra,627115,No. 241  Hadapsar Main Road  Pune  Maharashtra - 627115,Sports Rehabilitation,Operations Desk,8054669275,info.motioncarehadapsarwellnesshospital@arthomove-demo.com,Finger,ACTIVE,,,
10,ApolloCare Peelamedu Medical Center,Peelamedu,Coimbatore,Tamil Nadu,619616,No. 168  Peelamedu Main Road  Coimbatore  Tamil Nadu - 619616,Post-Surgery Rehabilitation,Operations Desk,7028795083,info.apollocarepeelamedumedicalcenter@arthomove-demo.com,Thumb,ACTIVE,,,
11,HealWell Vyttila Speciality Clinic,Vyttila,Kochi,Kerala,634701,No. 9  Vyttila Main Road  Kochi  Kerala - 634701,Pediatric Orthopedics,Patient Care,7268171516,info.healwellvyttilaspecialityclinic@arthomove-demo.com,Torso,ACTIVE,,,
12,MotionCare Navrangpura Speciality Clinic,Navrangpura,Ahmedabad,Gujarat,585270,No. 51  Navrangpura Main Road  Ahmedabad  Gujarat - 585270,Post-Surgery Rehabilitation,Front Office,9223116491,info.motioncarenavrangpuraspecialityclinic@arthomove-demo.com,Stroke,ACTIVE,,,
13,ApolloCare Navi Mumbai Speciality Clinic,Navi Mumbai,Mumbai,Maharashtra,646704,No. 96  Navi Mumbai Main Road  Mumbai  Maharashtra - 646704,Spine Care,Admin Office,7293946943,info.apollocarenavimumbaispecialityclinic@arthomove-demo.com,Shoulder,ACTIVE,,,
14,Medicare Malviya Nagar Healthcare Hub,Malviya Nagar,Jaipur,Rajasthan,669397,No. 181  Malviya Nagar Main Road  Jaipur  Rajasthan - 669397,Physiotherapy,Front Office,9054647548,info.medicaremalviyanagarhealthcarehub@arthomove-demo.com,Neck,INACTIVE,,,
15,OrthoLife Koramangala Hospital,Koramangala,Bengaluru,Karnataka,677922,No. 237  Koramangala Main Road  Bengaluru  Karnataka - 677922,Joint Replacement,Front Office,7149830748,info.ortholifekoramangalahospital@arthomove-demo.com,Back,ACTIVE,,,
16,SpinePlus Peelamedu Medical Center,Peelamedu,Coimbatore,Tamil Nadu,666190,No. 94  Peelamedu Main Road  Coimbatore  Tamil Nadu - 666190,Orthopedics,Operations Desk,9212235521,info.spinepluspeelamedumedicalcenter@arthomove-demo.com,Ankle,ACTIVE,,,
17,SpinePlus Kakkanad Hospital,Kakkanad,Kochi,Kerala,614631,No. 117  Kakkanad Main Road  Kochi  Kerala - 614631,Sports Rehabilitation,Care Coordinator,8812421140,info.spinepluskakkanadhospital@arthomove-demo.com,Knee,INACTIVE,,,
18,Prime Rehab Navrangpura Medical Center,Navrangpura,Ahmedabad,Gujarat,606367,No. 236  Navrangpura Main Road  Ahmedabad  Gujarat - 606367,Pain Management,Care Coordinator,8280550774,info.primerehabnavrangpuramedicalcenter@arthomove-demo.com,Wrist,ACTIVE,,,
19,ARthoMove Guindy Wellness Hospital,Guindy,Chennai,Tamil Nadu,593839,No. 30  Guindy Main Road  Chennai  Tamil Nadu - 593839,Sports Rehabilitation,Admin Office,7754853465,info.arthomoveguindywellnesshospital@arthomove-demo.com,Toes,INACTIVE,,,
20,CarePlus Secunderabad Healthcare Hub,Secunderabad,Hyderabad,Telangana,671470,No. 57  Secunderabad Main Road  Hyderabad  Telangana - 671470,Spine Care,Patient Care,9588070532,info.careplussecunderabadhealthcarehub@arthomove-demo.com,Elbows,ACTIVE,,,
21,Prime Rehab Malviya Nagar Healthcare Hub,Malviya Nagar,Jaipur,Rajasthan,676478,No. 81  Malviya Nagar Main Road  Jaipur  Rajasthan - 676478,Pain Management,Help Desk,9201237631,info.primerehabmalviyanagarhealthcarehub@arthomove-demo.com,Finger,ACTIVE,,,
22,ApolloCare Navrangpura Rehab Institute,Navrangpura,Ahmedabad,Gujarat,564310,No. 209  Navrangpura Main Road  Ahmedabad  Gujarat - 564310,Pediatric Orthopedics,Help Desk,7368605063,info.apollocarenavrangpurarehabinstitute@arthomove-demo.com,Thumb,ACTIVE,,,
23,NeuroOrtho Powai Rehab Institute,Powai,Mumbai,Maharashtra,662037,No. 4  Powai Main Road  Mumbai  Maharashtra - 662037,Shoulder & Knee Rehab,Patient Care,7735674809,info.neuroorthopowairehabinstitute@arthomove-demo.com,Torso,ACTIVE,,,
24,NeuroOrtho Dwarka Healthcare Hub,Dwarka,Delhi,Delhi,696268,No. 4  Dwarka Main Road  Delhi  Delhi - 696268,Pain Management,Admin Office,9065673374,info.neuroorthodwarkahealthcarehub@arthomove-demo.com,Stroke,ACTIVE,,,
25,CarePlus Hadapsar Wellness Hospital,Hadapsar,Pune,Maharashtra,656332,No. 66  Hadapsar Main Road  Pune  Maharashtra - 656332,Pediatric Orthopedics,Operations Desk,8873544534,info.careplushadapsarwellnesshospital@arthomove-demo.com,Shoulder,INACTIVE,,,
26,HealWell Rohini Medical Center,Rohini,Delhi,Delhi,606066,No. 46  Rohini Main Road  Delhi  Delhi - 606066,Shoulder & Knee Rehab,Admin Office,7855074350,info.healwellrohinimedicalcenter@arthomove-demo.com,Neck,ACTIVE,,,
