id,hospital_id,branch_name,branch_code,address,city,contact_phone,contact_email,manager_name,total_doctors,status,latitude,longitude
1,1,OrthoLife Indiranagar Medical Center - Hebbal Branch,H001-B01,Hebbal  Bengaluru,Bengaluru,7863794026,,Rajesh Kumar,4,ACTIVE,,
2,1,OrthoLife Indiranagar Medical Center - Whitefield Branch,H001-B02,Whitefield  Bengaluru,Bengaluru,8231665876,,Suresh Iyer,2,ACTIVE,,
3,1,OrthoLife Indiranagar Medical Center - Jayanagar Branch,H001-B03,Jayanagar  Bengaluru,Bengaluru,8685574443,,Manoj Singh,2,ACTIVE,,
4,1,OrthoLife Indiranagar Medical Center - Jayanagar Branch,H001-B04,Jayanagar  Bengaluru,Bengaluru,9396360576,,Divya Nair,5,ACTIVE,,
5,2,CarePlus Edappally Healthcare Hub - Kakkanad Branch,H002-B01,Kakkanad  Kochi,Kochi,7124329212,,Divya Nair,5,ACTIVE,,
6,2,CarePlus Edappally Healthcare Hub - Marine Drive Branch,H002-B02,Marine Drive  Kochi,Kochi,7767735925,,Priya Menon,4,ACTIVE,,
7,3,ApolloCare Bandra Speciality Clinic - Andheri Branch,H003-B01,Andheri  Mumbai,Mumbai,7469901398,,Manoj Singh,3,ACTIVE,,
8,3,ApolloCare Bandra Speciality Clinic - Borivali Branch,H003-B02,Borivali  Mumbai,Mumbai,9280737416,,Neha Sharma,5,INACTIVE,,
9,3,ApolloCare Bandra Speciality Clinic - Andheri Branch,H003-B03,Andheri  Mumbai,Mumbai,9328569146,,Vikram Rao,3,ACTIVE,,
10,4,HealWell Kothrud Hospital - Hinjewadi Branch,H004-B01,Hinjewadi  Pune,Pune,7015336884,,Ritika Jain,4,ACTIVE,,
11,4,HealWell Kothrud Hospital - Hadapsar Branch,H004-B02,Hadapsar  Pune,Pune,8532603323,,Suresh Iyer,2,ACTIVE,,
12,4,HealWell Kothrud Hospital - Baner Branch,H004-B03,Baner  Pune,Pune,9415521667,,Divya Nair,4,ACTIVE,,
13,4,HealWell Kothrud Hospital - Hinjewadi Branch,H004-B04,Hinjewadi  Pune,Pune,7103886291,,Amit Patel,3,ACTIVE,,
14,5,Medicare Navi Mumbai Medical Center - Bandra Branch,H005-B01,Bandra  Mumbai,Mumbai,8334722820,,Priya Menon,2,ACTIVE,,
15,5,Medicare Navi Mumbai Medical Center - Borivali Branch,H005-B02,Borivali  Mumbai,Mumbai,8419693157,,Neha Sharma,3,ACTIVE,,
16,5,Medicare Navi Mumbai Medical Center - Dadar Branch,H005-B03,Dadar  Mumbai,Mumbai,9495880395,,Amit Patel,4,ACTIVE,,
17,5,Medicare Navi Mumbai Medical Center - Navi Mumbai Branch,H005-B04,Navi Mumbai  Mumbai,Mumbai,8393852580,,Ritika Jain,2,ACTIVE,,
18,6,ApolloCare RS Puram Wellness Hospital - Saibaba Colony Branch,H006-B01,Saibaba Colony  Coimbatore,Coimbatore,7067198554,,Priya Menon,5,ACTIVE,,
19,6,ApolloCare RS Puram Wellness Hospital - Gandhipuram Branch,H006-B02,Gandhipuram  Coimbatore,Coimbatore,8813767426,,Divya Nair,5,ACTIVE,,
20,6,ApolloCare RS Puram Wellness Hospital - Saibaba Colony Branch,H006-B03,Saibaba Colony  Coimbatore,Coimbatore,8231981898,,Divya Nair,4,ACTIVE,,
21,7,SpinePlus Gandhipuram Medical Center - Saibaba Colony Branch,H007-B01,Saibaba Colony  Coimbatore,Coimbatore,7720811556,,Manoj Singh,3,ACTIVE,,
22,7,SpinePlus Gandhipuram Medical Center - Peelamedu Branch,H007-B02,Peelamedu  Coimbatore,Coimbatore,9700794200,,Manoj Singh,5,ACTIVE,,
23,7,SpinePlus Gandhipuram Medical Center - RS Puram Branch,H007-B03,RS Puram  Coimbatore,Coimbatore,8636004125,,Kavya Reddy,5,ACTIVE,,
24,8,CarePlus Marine Drive Speciality Clinic - Vyttila Branch,H008-B01,Vyttila  Kochi,Kochi,8742333059,,Ritika Jain,2,ACTIVE,,
25,8,CarePlus Marine Drive Speciality Clinic - Edappally Branch,H008-B02,Edappally  Kochi,Kochi,9861515542,,Manoj Singh,3,ACTIVE,,
26,8,CarePlus Marine Drive Speciality Clinic - Aluva Branch,H008-B03,Aluva  Kochi,Kochi,9595518426,,Priya Menon,4,ACTIVE,,
27,9,MotionCare Hadapsar Wellness Hospital - Wakad Branch,H009-B01,Wakad  Pune,Pune,7687409038,,Divya Nair,2,ACTIVE,,
28,9,MotionCare Hadapsar Wellness Hospital - Baner Branch,H009-B02,Baner  Pune,Pune,8386396096,,Suresh Iyer,3,INACTIVE,,
29,9,MotionCare Hadapsar Wellness Hospital - Kothrud Branch,H009-B03,Kothrud  Pune,Pune,7310094318,,Rajesh Kumar,2,ACTIVE,,
30,9,MotionCare Hadapsar Wellness Hospital - Hadapsar Branch,H009-B04,Hadapsar  Pune,Pune,9439852989,,Priya Menon,4,ACTIVE,,
31,10,ApolloCare Peelamedu Medical Center - Gandhipuram Branch,H010-B01,Gandhipuram  Coimbatore,Coimbatore,9580935118,,Vikram Rao,5,ACTIVE,,
